epoch,batch_size,lr,tloss,vloss,vacc,roc_acc
2,76,0.0032,0.4864296477889146,0.7323636616624537,0.35848348348348347,0.8298333368403439
3,76,0.0032,0.4067738066445965,0.465539397050937,0.41403903903903905,0.8784998086174263
4,76,0.0032,0.3682636921356089,0.42668992050346877,0.4435685685685686,0.8874585296006716
5,76,0.0032,0.34886379915690546,0.5692075718016851,0.49874874874874875,0.8804307936565193
6,76,0.0032,0.33154321868999415,0.4100626952768791,0.4904904904904905,0.9035847346345343
7,76,0.0032,0.3229790650330742,0.4546490419833433,0.38626126126126126,0.8741618871123377
8,76,0.0032,0.3119616547098322,0.39791065968927886,0.36461461461461464,0.8992153439726014
9,76,0.0032,0.3120304444311539,0.4439259389681475,0.4094094094094094,0.8759949263577893
10,76,0.0032,0.31086240001420956,0.34015707511987003,0.4647147147147147,0.9279331258185111
11,76,0.0032,0.31358667786587885,0.4151449396851517,0.42755255255255253,0.8931091376661946
12,76,0.0032,0.3217090432208829,0.5248194393657503,0.4239239239239239,0.8417641239838437
13,76,0.0032,0.326647620926842,0.9585562744843108,0.44907407407407407,0.8606695409122838
14,76,0.0032,0.3297080762634209,0.46654422900506426,0.4127877877877878,0.8682911515118723
15,76,0.0032,0.33980551667964654,0.642747369018339,0.40065065065065064,0.8469879100822544
16,76,0.0032,0.3444936673462525,0.41923175876339275,0.44907407407407407,0.9039241005269533
17,76,0.0032,0.3491578307649142,0.48596094903491793,0.4034034034034034,0.8894398026655284
18,76,0.0032,0.35744617723871275,0.42292465340523494,0.27715215215215216,0.8874823271720169
19,76,0.0032,0.3564670674442883,0.4851871446839401,0.375,0.8659195356517679
20,76,0.0032,0.3599591453332734,0.5579868618931089,0.3367117117117117,0.8447123299475652
21,76,0.0008,0.372236227581032,0.5171096610526243,0.2949199199199199,0.8741107849591334
22,76,0.0008,0.36821302127076855,0.5047034922809828,0.3205705705705706,0.8625927604280956
23,76,0.0008,0.37570224734405866,0.6308223913822856,0.3658658658658659,0.8556733034335636
24,76,0.0008,0.371076939162297,0.6126483484126982,0.39602102102102105,0.887757940623306
1,76,0.0008,0.24250363172288147,0.35366199289759,0.5741991991991992,0.929659013367722
2,76,0.0008,0.21073491381401907,0.3470216355774374,0.6441441441441441,0.932522049076103
3,76,0.0008,0.2033435621595364,0.36273917702159714,0.6123623623623624,0.9453858888918948
4,76,0.0008,0.19536543956908972,0.357747673012671,0.5970970970970971,0.9377190629067507
5,76,0.0008,0.193012322184042,0.352544366160319,0.613988988988989,0.941921901881862
6,76,0.0008,0.18631670200222322,0.4110425645707264,0.6820570570570571,0.9263311735158581
7,76,0.0008,0.18699209896280136,0.3472423366315308,0.6335085085085085,0.9406157283409535
8,76,0.0008,0.18244173383159112,0.3218891881406307,0.6353853853853854,0.9386762262763263
9,76,0.0008,0.18259310943931872,0.5331575494880477,0.5701951951951952,0.9144313232151069
10,76,0.0008,0.1816079468871975,0.41192957758903503,0.5709459459459459,0.9331950819688557
11,76,0.0008,0.1799273914307934,0.32605746503741967,0.651026026026026,0.9393991088185282
12,76,0.0008,0.1806039231327864,0.3241897298998776,0.6547797797797797,0.9394870972073173
13,76,0.0004,0.14786327828563822,0.4040412387500207,0.6407657657657657,0.9314907374842311
14,76,0.0004,0.1410475559596541,0.3517414142510721,0.6632882882882883,0.9459223362501641
15,76,0.0004,0.14370988652666508,0.33721600313271793,0.6635385385385385,0.939792207122037
16,76,0.0004,0.14072980828163476,0.3640527031162665,0.664039039039039,0.9339993772551329
17,76,0.0004,0.13491646348171774,0.32762476047944455,0.6938188188188188,0.9425695089483878
18,76,0.0004,0.13636264262586018,0.3514901477666128,0.6846846846846847,0.9379041203365528
19,76,0.0004,0.13367319551003704,0.32272024638950825,0.6969469469469469,0.9468880166452738
20,76,0.0004,0.13616763283786742,0.38789267367905095,0.6569069069069069,0.9427335243151059
21,76,0.0004,0.1387080558854509,0.3468861842439288,0.6595345345345346,0.945552910267625
22,76,0.0004,0.1327859468877056,0.44375935356531826,0.6412662662662663,0.9249572395218041
23,76,0.0004,0.1356770587053584,0.35086702839249656,0.6605355355355356,0.9434772610448287
24,76,0.0004,0.14168753648460156,0.39478331334179356,0.6451451451451451,0.9316918269620973
25,76,0.0004,0.13607478124286274,0.37789592138003736,0.6941941941941941,0.9361628896163431
26,76,0.00032,0.12782478907803838,0.32313177220168565,0.6990740740740741,0.9429969884799713
27,76,0.00032,0.1217237270759992,0.3725591454477537,0.6779279279279279,0.9307978524069614
28,76,0.00032,0.12183600480110732,0.3386542201929149,0.6870620620620621,0.9430413271128987
29,76,0.00032,0.12579607671299495,0.3387017849655378,0.6926926926926927,0.9388083027972919
30,76,0.00032,0.11884763138497752,0.3677983424138455,0.6811811811811812,0.9452132938744551
31,76,0.00032,0.12130968496036303,0.34311369638003053,0.6871871871871872,0.9503253253253254
32,76,0.00032,0.1207584488632135,0.31618123151184546,0.6943193193193193,0.9446788505221938
33,76,0.00032,0.12119178848297116,0.36935343433703693,0.6816816816816816,0.9453060104649194
34,76,0.00032,0.12016932007752586,0.3910840393177101,0.6746746746746747,0.9366213059906754
35,76,0.00032,0.12397350684675382,0.33512217214419726,0.716091091091091,0.9479040476913349
36,76,0.00032,0.12237852032151728,0.3436027164792731,0.704954954954955,0.9444680541402263
37,76,0.00032,0.12469644705921132,0.36551081939112573,0.6969469469469469,0.938657501345189
38,76,0.00032,0.12324131551212301,0.3048100335789578,0.6929429429429429,0.9513613964314663
39,76,0.00032,0.12740071972939973,0.476873360929035,0.6422672672672672,0.9337539491443395
40,76,0.00032,0.12125791596900758,0.43487112277320455,0.6823073073073073,0.9215220600981362
41,76,0.00016,0.1045382490281081,0.40734081706475644,0.6819319319319319,0.9435643726809892
42,76,0.00016,0.09854070426826664,0.4431714869237372,0.6896896896896897,0.9430298667035404
43,76,0.00016,0.09801108679996032,0.3503345631595169,0.700950950950951,0.9519697375052729
44,76,0.00016,0.09837767318420004,0.39889115804717656,0.6754254254254254,0.9478731734737741
45,76,0.00016,0.09868967286757765,0.37625006098477615,0.7135885885885885,0.939809491673856
46,76,0.00016,0.09726729810283105,0.33020937096859726,0.6930680680680681,0.9478123017912808
47,76,0.00016,0.09549471369077826,0.3192852096898215,0.7274774774774775,0.9469921623325027
48,76,0.00016,0.0945828443402696,0.35559969182525364,0.7129629629629629,0.9479666728790853
49,76,0.00016,0.09743067719900508,0.32906473028872696,0.7367367367367368,0.9496638154671189
50,76,0.00016,0.09684806439874669,0.4090752164345412,0.6970720720720721,0.9406463520577635
51,76,0.00016,0.09543760802224721,0.32044496795251254,0.7287287287287287,0.9473396381867353
52,76,0.00016,0.09555491840761528,0.40531868970997276,0.6926926926926927,0.9486074538001465
53,76,0.00016,0.09431487873102229,0.3541371577552387,0.7192192192192193,0.9420604914223534
54,76,0.00016,0.09524944664494849,0.34931945410512744,0.7140890890890891,0.9422930813696578
55,76,0.00016,0.0959718999085349,0.3518533082235427,0.7067067067067067,0.9390484077671264
56,76,0.00016,0.09397780285246975,0.3597786424770242,0.7251001001001001,0.943960727494261
57,76,0.00016,0.09284526349954295,0.43465183755116804,0.6903153153153153,0.952584716848981
58,76,0.00016,0.09273354392014577,0.327501428801389,0.7192192192192193,0.9466166617067517
59,76,0.00016,0.09654587017194563,0.4033893421735792,0.6994494494494494,0.9508752370989608
60,76,0.00016,0.0937474833105631,0.3942847458557004,0.7055805805805806,0.9471319417515613
